time,power_opt
2025-05-10 00:40:00,-556.661
2025-05-10 00:45:00,-444.671
2025-05-10 00:50:00,-696.661
2025-05-10 00:55:00,-556.661
2025-05-10 01:00:00,-336.671
2025-05-10 01:05:00,-540.691
2025-05-10 01:10:00,-784.671
2025-05-10 01:15:00,-448.681
2025-05-10 01:20:00,-748.691
2025-05-10 01:25:00,-452.681
2025-05-10 01:30:00,-492.681
2025-05-10 01:35:00,-508.641
2025-05-10 01:40:00,-536.671
2025-05-10 01:45:00,-708.651
2025-05-10 01:50:00,-476.671
2025-05-10 01:55:00,-888.701
2025-05-10 02:00:00,-692.661
2025-05-10 02:05:00,-548.691
2025-05-10 02:10:00,-516.701
2025-05-10 02:15:00,-648.681
2025-05-10 02:20:00,-684.671
2025-05-10 02:25:00,-752.691
2025-05-10 02:30:00,-476.671
2025-05-10 02:35:00,-532.641
2025-05-10 02:40:00,-788.661
2025-05-10 02:45:00,-472.681
2025-05-10 02:50:00,-664.681
2025-05-10 02:55:00,-620.681
2025-05-10 03:00:00,-548.661
2025-05-10 03:05:00,-532.651
2025-05-10 03:10:00,-728.651
2025-05-10 03:15:00,-904.661
2025-05-10 03:20:00,-712.661
2025-05-10 03:25:00,-824.681
2025-05-10 03:30:00,-836.671
2025-05-10 03:35:00,-816.671
2025-05-10 03:40:00,-880.711
2025-05-10 03:45:00,-996.661
2025-05-10 03:50:00,-912.671
2025-05-10 03:55:00,-856.681
2025-05-10 04:00:00,-560.671
2025-05-10 04:05:00,-588.621
2025-05-10 04:10:00,-488.641
2025-05-10 04:15:00,-476.681
2025-05-10 04:20:00,-524.651
2025-05-10 04:25:00,-540.701
2025-05-10 04:30:00,-648.661
2025-05-10 04:35:00,-732.661
2025-05-10 04:40:00,-572.671
2025-05-10 04:45:00,-868.661
2025-05-10 04:50:00,-520.671
2025-05-10 04:55:00,-588.651
2025-05-10 05:00:00,-536.701
2025-05-10 05:05:00,-668.701
2025-05-10 05:10:00,-544.651
2025-05-10 05:15:00,-568.671
2025-05-10 05:20:00,-468.671
2025-05-10 05:25:00,-512.671
2025-05-10 05:30:00,-544.681
2025-05-10 05:35:00,-608.661
2025-05-10 05:40:00,-532.641
2025-05-10 05:45:00,-612.651
2025-05-10 05:50:00,-576.701
2025-05-10 05:55:00,-636.701
2025-05-10 06:00:00,-576.701
2025-05-10 06:05:00,-584.691
2025-05-10 06:10:00,-572.671
2025-05-10 06:15:00,-676.681
2025-05-10 06:20:00,-600.681
2025-05-10 06:25:00,-616.681
2025-05-10 06:30:00,-568.701
2025-05-10 06:35:00,-560.681
2025-05-10 06:40:00,-656.701
2025-05-10 06:45:00,-644.671
2025-05-10 06:50:00,-1000.701
2025-05-10 06:55:00,-608.691
2025-05-10 07:00:00,-612.671
2025-05-10 07:05:00,-568.671
2025-05-10 07:10:00,-788.651
2025-05-10 07:15:00,-680.671
2025-05-10 07:20:00,-736.661
2025-05-10 07:25:00,-760.671
2025-05-10 07:30:00,-572.651
2025-05-10 07:35:00,-676.661
2025-05-10 07:40:00,-636.671
2025-05-10 07:45:00,-824.651
2025-05-10 07:50:00,-756.661
2025-05-10 07:55:00,-668.651
2025-05-10 08:00:00,9000.0
2025-05-10 08:05:00,9000.0
2025-05-10 08:10:00,9000.0
2025-05-10 08:15:00,9000.0
2025-05-10 08:20:00,9000.0
2025-05-10 08:25:00,9000.0
2025-05-10 08:30:00,8999.996
2025-05-10 08:35:00,557.952
2025-05-10 08:40:00,0.0
2025-05-10 08:45:00,0.0
2025-05-10 08:50:00,0.0
2025-05-10 08:55:00,0.0
2025-05-10 09:00:00,0.0
2025-05-10 09:05:00,0.0
2025-05-10 09:10:00,0.0
2025-05-10 09:15:00,0.0
