,time,value,type
9685,2025-05-02 15:05:00,0.6369,平
9686,2025-05-02 15:10:00,0.6369,平
9687,2025-05-02 15:15:00,0.6369,平
9688,2025-05-02 15:20:00,0.6369,平
9689,2025-05-02 15:25:00,0.6369,平
9690,2025-05-02 15:30:00,0.6369,平
9691,2025-05-02 15:35:00,0.6369,平
9692,2025-05-02 15:40:00,0.6369,平
9693,2025-05-02 15:45:00,0.6369,平
9694,2025-05-02 15:50:00,0.6369,平
9695,2025-05-02 15:55:00,0.6369,平
9696,2025-05-02 16:00:00,0.6369,平
9697,2025-05-02 16:05:00,0.6369,平
9698,2025-05-02 16:10:00,0.6369,平
9699,2025-05-02 16:15:00,0.6369,平
9700,2025-05-02 16:20:00,0.6369,平
9701,2025-05-02 16:25:00,0.6369,平
9702,2025-05-02 16:30:00,0.6369,平
9703,2025-05-02 16:35:00,0.6369,平
9704,2025-05-02 16:40:00,0.6369,平
9705,2025-05-02 16:45:00,0.6369,平
9706,2025-05-02 16:50:00,0.6369,平
9707,2025-05-02 16:55:00,0.6369,平
9708,2025-05-02 17:00:00,0.6369,平
9709,2025-05-02 17:05:00,0.6369,平
9710,2025-05-02 17:10:00,0.6369,平
9711,2025-05-02 17:15:00,0.6369,平
9712,2025-05-02 17:20:00,0.6369,平
9713,2025-05-02 17:25:00,0.6369,平
9714,2025-05-02 17:30:00,0.6369,平
9715,2025-05-02 17:35:00,0.6369,平
9716,2025-05-02 17:40:00,0.6369,平
9717,2025-05-02 17:45:00,0.6369,平
9718,2025-05-02 17:50:00,0.6369,平
9719,2025-05-02 17:55:00,0.6369,平
9720,2025-05-02 18:00:00,0.9736,峰
9721,2025-05-02 18:05:00,0.9736,峰
9722,2025-05-02 18:10:00,0.9736,峰
9723,2025-05-02 18:15:00,0.9736,峰
9724,2025-05-02 18:20:00,0.9736,峰
9725,2025-05-02 18:25:00,0.9736,峰
9726,2025-05-02 18:30:00,0.9736,峰
9727,2025-05-02 18:35:00,0.9736,峰
9728,2025-05-02 18:40:00,0.9736,峰
9729,2025-05-02 18:45:00,0.9736,峰
9730,2025-05-02 18:50:00,0.9736,峰
