,time,value
9776,2025-05-02 22:40:00,10958.36
9777,2025-05-02 22:45:00,11010.36
9778,2025-05-02 22:50:00,10950.38
9779,2025-05-02 22:55:00,10982.35
9780,2025-05-02 23:00:00,10886.34
9781,2025-05-02 23:05:00,10906.32
9782,2025-05-02 23:10:00,11034.33
9783,2025-05-02 23:15:00,11014.33
9784,2025-05-02 23:20:00,10970.35
9785,2025-05-02 23:25:00,11070.3
9786,2025-05-02 23:30:00,10942.33
9787,2025-05-02 23:35:00,11022.35
9788,2025-05-02 23:40:00,11050.33
9789,2025-05-02 23:45:00,10990.35
9790,2025-05-02 23:50:00,10978.32
9791,2025-05-02 23:55:00,11002.35
9792,2025-05-03 00:00:00,10774.34
9793,2025-05-03 00:05:00,10810.33
9794,2025-05-03 00:10:00,11050.34
9795,2025-05-03 00:15:00,10894.37
9796,2025-05-03 00:20:00,10954.35
9797,2025-05-03 00:25:00,10930.38
9798,2025-05-03 00:30:00,11062.36
9799,2025-05-03 00:35:00,10990.32
9800,2025-05-03 00:40:00,11066.36
9801,2025-05-03 00:45:00,11098.33
9802,2025-05-03 00:50:00,10994.37
9803,2025-05-03 00:55:00,11102.32
9804,2025-05-03 01:00:00,11150.4
9805,2025-05-03 01:05:00,11126.38
9806,2025-05-03 01:10:00,11254.35
9807,2025-05-03 01:15:00,11130.34
9808,2025-05-03 01:20:00,11006.31
9809,2025-05-03 01:25:00,11134.33
9810,2025-05-03 01:30:00,10990.4
9811,2025-05-03 01:35:00,11042.38
9812,2025-05-03 01:40:00,11266.36
9813,2025-05-03 01:45:00,11062.33
9814,2025-05-03 01:50:00,10986.37
9815,2025-05-03 01:55:00,11254.36
9816,2025-05-03 02:00:00,10890.36
9817,2025-05-03 02:05:00,11150.34
9818,2025-05-03 02:10:00,11066.33
9819,2025-05-03 02:15:00,11154.41
9820,2025-05-03 02:20:00,11018.33
9821,2025-05-03 02:25:00,11266.34
9822,2025-05-03 02:30:00,11206.33
9823,2025-05-03 02:35:00,11130.35
9824,2025-05-03 02:40:00,11162.38
9825,2025-05-03 02:45:00,11126.33
9826,2025-05-03 02:50:00,11134.33
9827,2025-05-03 02:55:00,11174.38
9828,2025-05-03 03:00:00,11146.36
9829,2025-05-03 03:05:00,11150.32
9830,2025-05-03 03:10:00,11110.35
9831,2025-05-03 03:15:00,10950.37
9832,2025-05-03 03:20:00,11050.32
9833,2025-05-03 03:25:00,11138.33
9834,2025-05-03 03:30:00,10970.35
9835,2025-05-03 03:35:00,11110.36
9836,2025-05-03 03:40:00,11166.38
9837,2025-05-03 03:45:00,11010.36
9838,2025-05-03 03:50:00,11078.38
9839,2025-05-03 03:55:00,10994.33
9840,2025-05-03 04:00:00,11170.35
9841,2025-05-03 04:05:00,11138.37
9842,2025-05-03 04:10:00,10954.38
9843,2025-05-03 04:15:00,11170.35
9844,2025-05-03 04:20:00,11174.34
9845,2025-05-03 04:25:00,11218.35
9846,2025-05-03 04:30:00,11138.32
9847,2025-05-03 04:35:00,11106.32
9848,2025-05-03 04:40:00,10786.35
9849,2025-05-03 04:45:00,11166.33
9850,2025-05-03 04:50:00,11122.34
9851,2025-05-03 04:55:00,11062.36
9852,2025-05-03 05:00:00,11010.36
9853,2025-05-03 05:05:00,11086.37
9854,2025-05-03 05:10:00,10870.33
9855,2025-05-03 05:15:00,11010.35
9856,2025-05-03 05:20:00,11038.37
9857,2025-05-03 05:25:00,10902.36
9858,2025-05-03 05:30:00,11086.32
9859,2025-05-03 05:35:00,10946.34
9860,2025-05-03 05:40:00,10978.34
9861,2025-05-03 05:45:00,10958.35
9862,2025-05-03 05:50:00,10982.32
9863,2025-05-03 05:55:00,10670.34
9864,2025-05-03 06:00:00,10714.33
9865,2025-05-03 06:05:00,10930.32
9866,2025-05-03 06:10:00,10966.35
9867,2025-05-03 06:15:00,10694.34
9868,2025-05-03 06:20:00,10930.34
9869,2025-05-03 06:25:00,10946.32
9870,2025-05-03 06:30:00,10898.35
9871,2025-05-03 06:35:00,11002.35
9872,2025-05-03 06:40:00,10890.34
9873,2025-05-03 06:45:00,10926.36
9874,2025-05-03 06:50:00,10870.34
9875,2025-05-03 06:55:00,10810.36
9876,2025-05-03 07:00:00,10974.4
9877,2025-05-03 07:05:00,11006.32
9878,2025-05-03 07:10:00,10966.32
9879,2025-05-03 07:15:00,10950.33
9880,2025-05-03 07:20:00,10894.33
9881,2025-05-03 07:25:00,10878.38
9882,2025-05-03 07:30:00,10894.33
9883,2025-05-03 07:35:00,10818.36
9884,2025-05-03 07:40:00,10970.35
9885,2025-05-03 07:45:00,10986.34
9886,2025-05-03 07:50:00,10958.34
9887,2025-05-03 07:55:00,10990.36
9888,2025-05-03 08:00:00,10950.33
9889,2025-05-03 08:05:00,10962.36
9890,2025-05-03 08:10:00,10886.34
9891,2025-05-03 08:15:00,10958.35
9892,2025-05-03 08:20:00,10990.37
9893,2025-05-03 08:25:00,11078.34
9894,2025-05-03 08:30:00,10870.39
9895,2025-05-03 08:35:00,10934.33
9896,2025-05-03 08:40:00,11062.33
9897,2025-05-03 08:45:00,11038.3
9898,2025-05-03 08:50:00,10978.31
9899,2025-05-03 08:55:00,10966.31
9900,2025-05-03 09:00:00,11002.36
9901,2025-05-03 09:05:00,11070.34
9902,2025-05-03 09:10:00,10950.37
9903,2025-05-03 09:15:00,11050.36
9904,2025-05-03 09:20:00,11062.36
9905,2025-05-03 09:25:00,10926.39
9906,2025-05-03 09:30:00,10778.34
9907,2025-05-03 09:35:00,10886.36
9908,2025-05-03 09:40:00,10950.35
9909,2025-05-03 09:45:00,10866.33
9910,2025-05-03 09:50:00,10818.36
9911,2025-05-03 09:55:00,10786.36
9912,2025-05-03 10:00:00,10882.35
9913,2025-05-03 10:05:00,10722.33
9914,2025-05-03 10:10:00,10878.36
9915,2025-05-03 10:15:00,11178.36
9916,2025-05-03 10:20:00,11062.31
9917,2025-05-03 10:25:00,11038.33
9918,2025-05-03 10:30:00,11134.36
9919,2025-05-03 10:35:00,10822.31
9920,2025-05-03 10:40:00,11022.36
9921,2025-05-03 10:45:00,11010.35
9922,2025-05-03 10:50:00,11042.33
9923,2025-05-03 10:55:00,11054.36
